text,philosopher,work,original_idx
"Ridiculing the anarchists and their repudiation of politics, Marx wrote: 'If the political struggle of the working class assumes violent forms, if the workers set up their revolutionary dictatorship in place of the dictatorship of the bourgeoisie, they commit the terrible crime of violating principles, for in order to satisfy their wretched, vulgar, everyday needs, in order to crush the resistance of the bourgeoisie, instead of laying down their arms and abolishing the state, they give the state a revolutionary and transitory form.'",Lenin,Essential Works Of Lenin,306227
"If we rule out major changes of policy affecting either the control of investment or the propensity to consume, and assume, broadly speaking, a continuance of the existing state of affairs, it is, I think, arguable that a more advantageous average state of expectation might result from a banking policy which always nipped in the bud an incipient boom by a rate of interest high enough to deter even the most misguided optimists.",Keynes,"A General Theory Of Employment, Interest, And Money",324504
"This is how much farther ahead they had come in their reflection than those who nowadays consider it praiseworthy, indeed profoundly sound, to revert to the helplessness of childhood and, in the place of thought determinations, to reinstate numbers themselves and numerical determinations like powers, followed by the infinitely great, the infinitely small, one divided by the infinite, and other such determinations, which are themselves often a perverse mathematical formalism.",Hegel,Science Of Logic,268891
"But the principle of marriage is obscene because it transforms an exchange that should be founded on a spontaneous impulse into rights and duties; it gives bodies an instrumental, thus degrading, side by dooming them to grasp themselves in their generality; the husband is often frozen by the idea that he is accomplishing a duty, and the wife is ashamed to feel delivered to someone who exercises a right over her.",Beauvoir,The Second Sex,351511
"The individual members of this class, however, are being constantly hurled down into the proletariat by the action of competition, and, as modern industry develops, they even see the moment approaching when they will completely disappear as an independent section of modern society, to be replaced, in manufactures, agriculture and commerce, by over lookers, bailiffs and shopmen.",Marx,The Communist Manifesto,302287
"In examining those arguments, they were necessarily led to consider the difference between a probable and a demonstrative argument, between a fallacious and a conclusive one; and logic, or the science of the general principles of good and bad reasoning, necessarily arose out of the observations which a scrutiny of this kind gave occasion to; though, in its origin, posterior both to physics and to ethics, it was commonly taught, not indeed in all, but in the greater part of the ancient schools of philosophy, previously to either of those sciences.",Smith,The Wealth Of Nations,316098
"But, precisely for this reason, it is not complete as determining reflection; the determination which it posits is consequently only a posited; this is an immediate, not however as equal to itself but as self negating; its connection with the turning back into itself is absolute; it is only in the reflection intoitself but is not this reflection itself.",Hegel,Science Of Logic,271215
"But the decoding of flows in capitalism has freed, de territorialized and decoded the flows of code just as it has the others to such a degree that the automatic machine has always increasingly internalized them in its body or its structure as a field of forces, while depending on a science and a technology, on a so called intellectual labor distinct from the manual labor of the worker (the evolution of the technical object).",Deleuze,Anti-Oedipus,216158
"It is the exhibition of the pure concepts of the understanding (and with them of all theoretical cognition a priori) as principlesd of the possi bility of experience, but of the latter as the detennination of appearances in space and time in general and the latter, finally, from the a Principien Verhii/tnisses",Kant,Critique Of Pure Reason,255586
"There are, of course, the phenomena of decomposition, which are difficult to dissociate from those belonging to the clinical picture of gan grene or putrid fever; on the other hand, there are phenomena of recession or effacement: the redness caused by irritations dis appears very quickly after the cessation of' the circulation; this interruption of natural movements (heartbeats, discharge of the lymph, breathing) itself causes effects whose beginning cannot be easily identified with that of the morbid elements: are the engorgement of the brain and the rapid softening that follows the effect of pathological congestion or of circulation interrupted by death?",Foucault,The Birth Of The Clinic,186401
"I have said how much easier puberty would be if she surpassed it, like the boy, toward a free adult future; menstruation horrifies her only because it signifies a brutal descent into femininity; she would also assume her youthful eroticism more peacefully if she did not feel a frightening disgust for the rest of her destiny; a coherent sexual education would greatly help her to surmount this crisis.",Beauvoir,The Second Sex,356518
"He does not consider that the capital which the first creditors of the public advanced to government, was, from the moment in which he advanced it, a certain portion of the annual produce, turned away from serving in the function of a capital, to serve in that of a revenue; from maintaining productive labourers, to maintain unproductive ones, and to be spent and wasted, generally in the course of the year, without even the hope of any future reproduction.",Smith,The Wealth Of Nations,318255
"But because it is difficult by known familiar names to do this, give me leave to endeavour by an example to make the different consideration the mind has of specific names and ideas a little more clear; and to show how the complex ideas of modes are referred sometimes to archetypes in the minds of other intelligent beings, or, which is the same, to the signification annexed by others to their received names; and sometimes to no archetypes at all.",Locke,Essay Concerning Human Understanding,92879
"For they have no friendly feeling to their debtors, but only a wish that they may be kept safe with a view to what is to be got from them; while those who have done a service to others feel friendship and love for those they have served even if these are not of any use to them and never will be.",Aristotle,Aristotle - Complete Works,76387
"We see every day that those who have read much cannot focus their attention on new things one discusses with them, and that the vanity of their erudition makes them want to judge these new The Search after things before conceiving them, and makes them fall into gross errors of which other men are incapable.",Malebranche,The Search After Truth,118984
"If to break loose from the conduct of reason, and to want that restraint of examination and judgment which keeps us from choosing or doing the worse, be liberty, true liberty, madmen and fools are the only freemen: but yet, I think, nobody would choose to be mad for the sake of such liberty, but he that is mad already.",Locke,Essay Concerning Human Understanding,90604
"As I reflected on this subject I was glad to think that I had found in Anaxagoras a teacher about the cause of things after my own heart, and that he would tell me, first, whether the earth is flat or round, and then would explain why it is so of necessity, saying which is better, and that it was better to be so.",Plato,Plato - Complete Works,1794
"The advantage which natural beauty enjoys over that of art, even where it is excelled by the latter in point of form, in yet being alone able to awaken an immediate interest, accords with the refined and well grounded habits of thought of all those who have cultivated their moral feeling.",Kant,Critique Of Judgement,250843
"The whole of these analyses reveals a possibility of temporalizing of temporality in which the inauthenticity of Dasein is ontologically grounded, and leads to the question of how the temporal nature of everydayness the temporal meaning of the ini tially and for the most part, which we have continually been using is to be understood.",Heidegger,Being And Time,238328
"One set of parents who had placed their son in the Charit at Senlis on account of his 'frenzy' and 'disordered mind' asked for him to be transferred to Saint Lazare, 'having had no desire to see their son die when they asked for him to be confined, but only wishing that he would mend his ways and recover the wits that he seemed to be losing'.",Foucault,History Of Madness,188893
"Subjection of Nature's forces to man, machinery, application of chemistry to industry and agriculture, steam navigation, railways, electric telegraphs, clearing of whole continents for cultivation, canalisation of rivers, whole populations conjured out of the ground what earlier century had even a presentiment that such productive forces slumbered in the lap of social labour?",Marx,The Communist Manifesto,302006
"They could not appear otherwise than in perspective, but the particular perspective which I acquire at each moment is the outcome of no more than physical necessity, that is to say, of a necessity which I can use and which is not a prison for me: from my window only the tower of the church is visible, but this limitation simultaneously holds out the promise that from elsewhere the whole church could be seen.",Merleau-Ponty,The Phenomenology Of Perception,220062
"If the English really believe that they know intuitively, and of their own accord, what is good and evil; if, therefore, they assert that they no longer need Christianity as a guarantee of morality, this in itself is simply the outcome of thedominion of Christian valuations, and a proof of the strength and profundity of thisdominion.",Nietzsche,Twilight Of The Idols,332878
"For without friends no one would choose to live, though he had all other goods; even rich men and those in possession of office and ofdominating power are thought to need friends most of all; for what is the use of such prosperity without the opportunity of beneficence, which is exercised chiefly and in its most laudable form towards friends?",Aristotle,Aristotle - Complete Works,76024
"In this sense, it is correct to claim that neither Fichte nor Hegel is the descendant of Kant rather, it is Holderlin, who discovers the emptiness of pure time and, in this emptiness, simultaneously the continued diversion of the divine, the prolonged fracture of the I and the constitutive passion of the self.",Deleuze,Difference And Repetition,207703
"Remoteness in time and space is, however, only the imperfect form in which the immediate mode of existence is given amedia ed or universal character; it is merely dipped superficially in the element of Thought, is preserved in it as a sensuous mode, and not made one with the nature of Thought itself.",Hegel,The Phenomenology Of Spirit,283663
"Therefore, for a person to say that he has a clear and distinct that is, a true idea of a substance, but that he is not sure whether such substance exists, would be the same as if he said that he had a true idea, but was not sure whether or no it was false",Spinoza,Ethics,106738
"For I suppose by the 'soul's exerting them,' he means its beginning to know them; or else the soul's 'exerting of notions' will be to me a very unintelligible expression; and I think at best is a very unfit one in this, it misleading men's thoughts by an insinuation, as if these notions were in the mind before the 'soul exerts them,'.",Locke,Essay Concerning Human Understanding,88012
"To stand with all the doors of one's soul wide open, to He slavishly in the dust before every trivial fact, at all times of the day to be strained ready for the leap, in order to deposit one's self, to plunge one's self, into other souls and other things, in short, the famous objectivity of modern times, is bad taste, it is essentially vulgar and cheap.",Nietzsche,Twilight Of The Idols,332815
"Inner perception in the sense of genuine psychology, and psychological experience in general, understood as the experience of souls according to their own pure being, is so far from being an immediate and everyday affair, something gained through a simple epoche at the very beginnings, that it was not possible at all prior to the introduction of the peculiar method of the phenomenological epoche.",Husserl,The Crisis Of The European Sciences And Phenomenology,229108
"Perceiving further, that in order to understand these relations I should sometimes have to consider them one by one and sometimes only to bear them in mind, or embrace them in the aggregate, I thought that, in order the better to consider them individually, I should view them as subsisting between straight lines, than which I could find no objects more simple, or capable of being more distinctly represented to my imagination and senses; and on the other hand, that in order to retain them in the memory or embrace an aggregate of many, I should express them by certain characters the briefest possible.",Descartes,Discourse On Method,115563
"As the taste of the porridge does not tell you who grew the oats, no more does this simple process tell you of itself what are the social conditions under which it is taking place, whether under the slave owner's brutal lash, or the anxious eye of the capitalist, whether Cincinnatus carries it on in tilling his modest farm or a savage in killing wild animals with stones.",Marx,Capital,291724
"But there are very few people who persist in their Greek in a subject where it is so inappropriate to use it, and it is this which causes me to believe that it is prejudice and an inordinate esteem for Euclid that formed the plan for this book in the imagination of its author.",Malebranche,The Search After Truth,119296
"The relationships of mother and wife however, are those of particular individuals, partly in the form of something natural pertaining to desire, pardy in the form of something negative which sees in those relationships only something evanescent and also, again, the particular individ ual is for that very reason a contingent ment which can be replaced by another individual.",Hegel,The Phenomenology Of Spirit,280899
"The network of sympathies that was fixed only on unsystematized resemblances, empirical observations, or a conjectural assignation of the nervous net work now rests on a strict analogy of structure: when the envelopes of the brain are inflamed, the sensitivity of the eyes and ears is sharpened; in the operation of hydrocele by injection, the irritation of the vaginal wall causes pains in the lumbar region; an inflammation of the intestinal pleura may, by a 'sympathy of tonicity', cause a cerebral affection.'",Foucault,The Birth Of The Clinic,186603
"It seems that one could conclude something conlraly to experience from the principles I have just established, namely, that the mother must always communicate to her child habits and inclinations similar to her own, and facility in imagining and learning the things she knows, for all these things as has been said, depend only on the traces and vestiges of the brain.",Malebranche,The Search After Truth,118793
"Sometimes the blossoms are of the same colour as the fruit as, for instance, in the pomegranate, the fruit and blossoms of which are both crimson; but sometimes they are of very dissimilar hues as, for example, in the bay tree and the ivy, whose blossoms are always yellow, but their fruit respectively black and crimson.",Aristotle,Aristotle - Complete Works,64700
"I mean, for instance, the same wine might seem, if either it or one's body changed, at one time sweet and at another time not sweet; but at least the sweet, such as it is when it exists, has never yet changed, but one is always right about it, and that which is to be sweet must of necessity be of such and such a nature.",Aristotle,Aristotle - Complete Works,71518
"As objectivity, it has the moment of the externality of the concept in it and is in general, therefore, the side of finitude, of alteration and appearance; but this side retreats into the negative unity of the concept and there it perishes; the negativity whereby its indifferent externality of bei manifests itself as unessential and as a positedness is the concept itself.",Hegel,Science Of Logic,275980
"Suppose a German, a Frenchman, and a Spaniard to come into a room, where there are placed upon the table three bottles of wine, Rhenish, Burgundy and Port; and suppose they shoued fall a quarrelling about the division of them; a person, who was chosen for umpire would naturally, to shew his impartiality, give every one the product of his own country:",Hume,A Treatise Of Human Nature,101316
"By regulating the money price of all the other parts of the rude produce of land, it regulates that of the materials of almost all manufactures; by regulating the money price of labour, it regulates that of manufacturing art and industry; and by regulating both, it regulates that of the complete manufacture.",Smith,The Wealth Of Nations,312939
"It is true neither that my existence is in full possession of itself, nor that it is entirely estranged from itself, because it is action or doing, and because action is, by definition, the violent transition from what I have to what I aim to have, from what I am to what I intend to the cogito be.",Merleau-Ponty,The Phenomenology Of Perception,224799
"But since this is not a power for the representation of things, but lies outside the cognitive power altogether, the elements of our judgments, insofar as they are related to pleasure or displeasure, thus belong to practical philosophy, and not to the sum total of transcendental philosophy, which has to do solely with pure a priori cognitions.",Kant,Critique Of Pure Reason,260663
"When I arrived and saw what they call there the 'happy life' a life filled with Italian and Syracusan banquets, with men gorging themselves twice a day and never sleeping alone at night, and following all the other customs that go with this way of living I was profoundly displeased.",Plato,Plato - Complete Works,36168
"On the other hand, there is little distress more pathetic than that of an isolated and penniless girl who sees herself ensnared in a 'crime' to erase a 'fault' that people around her consider unpardonable: in France this is the case of approximately women employees, secretaries, students, workers, and peasants; illegitimate motherhood is still so terrible a stain that many prefer suicide or infanticide to being an unmarried mother: proof that no punishment will ever stop them from 'getting rid of the infant.'",Beauvoir,The Second Sex,352658
"The 'tomboy,' upon becoming a woman, often feels a burning disappointment that can drive her directly to homosexuality; but what she was looking for in independence and intensity was to possess the world: she may not want to renounce the power of her femininity, the experiences of maternity, a whole part of her destiny.",Beauvoir,The Second Sex,349468
"This is of special importance for our science of ethics so that we can avoid being misled as has so often been the case into wanting to provide a further explanation of our consciousness of having duties (for this is what the thought to be described will prove to be) and wanting to derive it from grounds outside of itself, which is impossible and which would violate the dignity and absoluteness of the law.",Fichte,The System Of Ethics,261686
"Now all arguments that establish a theoretical proof are sufficient either: for proof by logically rigorous syllogistic inferences; or, where this is not the case, for inference by analogy; or, should even such inference be absent, still for probable opinion; or, finally, for what is least of all, the assumption of a merely possible source of explanation as an hypothesis.",Kant,Critique Of Judgement,252836
"Man being born, as has been proved, with a title to perfect freedom, and an uncontrouled enjoyment of all the rights and privileges of the law of nature, equally with any other man, or number of men in the world, hath by nature a power, not only to preserve his property, that is, his life, liberty and estate, against the injuries and attempts of other men; but to judge of, and punish the breaches of that law in others, as he is persuaded the offence deserves, even with death itself, in crimes where the heinousness of the fact, in his opinion, requires it.",Locke,Second Treatise On Government,87172
But Gilbert Harman and Robert Stalnaker have pointed out to me that Lewis can easily explain in his apparatus why we can validly infer from a self ascription to a self ascription entailed by it: it is simply a matter that one who self ascribes the property of being in a set of possible worlds is thereby committed to selfascribing to himself the property of being in any larger set of possible worlds.,Kripke,Philosophical Troubles,181421
"It was no longer a continuous dialectic, the way it had been in the sixteenth century, and it was no longer a simple, permanent opposition as it had been in the rigorous division in force at the outset of the classical age, but became instead a complex, strangely knotted collection of links.",Foucault,History Of Madness,189797
"that one should attend not merely to what is inferred by argument, but often attend more to the phenomena whereas now when men are unable to see a flaw in the argument they are compelled to believe what has been said and because often that which seems to have been shown by argument is true indeed but not for the cause which the argument assigns; for one may prove truth by means of falsehood, as is clear from the Analytics.",Aristotle,Aristotle - Complete Works,78324
"If it is to reach perfect density, in other words if there is to be an absolute object, it will have to consist of an infinite number of different perspectives compressed into a strict co existence, and to be presented as it were to a host of eyes all engaged in one concerted act of seeing.",Merleau-Ponty,The Phenomenology Of Perception,219759
"Every living creature has an instinctive love of satisfying this desire whenever it occurs, and the craving to do so can fill a man's whole being, so that he remains quite unmoved by the plea that he should do anything except satisfy his lust for the pleasures of the body, so as to make himself immune to all discomfort.",Plato,Plato - Complete Works,32497
"; with well chosen adjectives, they evoke the refinements of a civilization 'of quality'; they extol the bourgeois ideal of happiness and disguise their class interests under the banner of poetry; they orchestrate the mystification intended to persuade women to 'remain women'; old houses, parks and kitchen gardens, picturesque grandparents, mischievous children, laundry, jams and jellies, family gatherings, clothes, salons, balls, suffering but exemplary wives, the beauty of devotion and sacrifice, small disappointments and great joys of conjugal love, dreams of youth, mature resignation women novelists from England, France, America, Canada, and Scandinavia have exploited these themes to the utmost; they have attained glory and wealth but have not enriched our vision of the world.",Beauvoir,The Second Sex,356300
"But Giidel's proof of the incompletability of elemen tary number theory shows that no such approach can be adequate to mathematics in general, nor in particular to set theory, nor to Language for Language, in consequence, Carnap's formulation of logical truth proceeded along the lines rather of Tarski's technique of truth definition.",Quine,Quintessence,159822
"For the end of conjunction, between male and female, being not barely procreation, but the continuation of the species; thisconjunction betwixt male and female ought to last, even after procreation, so long as is necessary to the nourishment and support of the young ones, who are to be sustained by those that got them, till they are able to shift and provide for themselves.",Locke,Second Treatise On Government,87143
"He uses analogies taken from humble occupations; he argues that sometimes ignorance is better than knowledge; he argues that the only truly valuable knowledge is the knowledge of the good, an authoritative knowledge that will correctly advise us when to use the other goods and skills in our possession; he believes that the gods hold the virtues of the soul in higher regard than expensive gifts and sacrifices.",Plato,Plato - Complete Works,13306
"He will then try 'Gavagai' for assent or dissent in a couple of situations designed perhaps to eliminate 'White and 'Animal' as alter native translations, and will forthwith settle upon 'Rabbit' as translation without further experiment though always in readiness to dis cover through some unsought experience that a revision is in order.",Quine,Quintessence,160731
"Nevertheless, in the esoteric history of differential philosophy, three names shine forth like bright stars: Salomon Maimon who, paradoxically, sought to ground post Kantianism upon a Leibnizian reinterpretation of the calculus ); Hoe'ne Wronski, a profound mathematician who developed a positivist, messianic and mystical system which implied a Kantian interpretation of the calculus ); and Jean BordasDemoulin who, in the course of reflections upon Descartes, offered a Platonic interpretation of the calculus.",Deleuze,Difference And Repetition,209245
"If, on the other hand, 'Moses' is not synonymous with any description, then even if its reference is in some sense determined by a description, statements containing the name cannot in general be analyzed by replacing the name by a description, though they may be materially equivalent to statements containing a description.",Kripke,Naming And Necessity,170869
"The liberal man will need money for the doing of his liberal deeds, and the just man too will need it for the returning of services (for wishes are hard to discern, and even people who are not just pretend to wish to act justly); and the brave man will need power if he is to accomplish any of the acts that correspond to his excellence, and the temperate man will need opportunity; for how else is either he or any of the others to be recognized?",Aristotle,Aristotle - Complete Works,76686
"The effect of improvements in machinery, not merely in superseding the necessity for the employment of the same quantity of adult labour as before, in order to produce a given result, but in substituting one description of human labour for another, the less skilled for the more skilled, juvenile for adult, female for male, causes a fresh disturbance in the rate of wages.",Marx,Capital,295688
"What might tempt one to this view in regard to the syllogism of analogy, and perhaps in regard to the syllogism of induction too, is that the middle term in them, and also the extremes, are more determined than they are in the merely formal syllogism, and therefore the determinations of form, since they are no longer simple and abstract, must also take on the appearance of a content determination.",Hegel,Science Of Logic,275209
"It follows thence that certain writers have been too ready to grant that the Holy Trinity is contrary to that great principle which states that two things which are the same as a third are also the same as each other: that is to say, if A is the same as, and if is the same as, then A and must also be the same as each other.",Leibniz,Theodicy,110963
"But then, if the genus is taken as a universal arrived at by the mere abstraction of determinations, it cannot strictly speaking form a disjunctive judgment; for it is contingent whether, as it were, there is still left in it the determinateness that constitutes the principle of the 'either or'; the genus would not be displayed in the species according to its determinateness, and these would only be capable of contingent completeness.",Hegel,Science Of Logic,274720
"In pursuit of a manifestation which would not be an expression but a pure creation of life, which would not fall far from the body then to decline into a sign or a work, an object, Artaud attempted to destroy a history, the history of the dualist metaphysics which more or less subterraneously inspired the essays invoked above: the duality of the body and the soul which supports, secretly of course, the duality of speech and existence, of the text and the body, etc.",Derrida,Writing And Difference,203419
"How are those tiny tubes constructed that choose among the various parts of which the blood is composed those suitable for allowing light to pass, in order then to distribute them in the transparent humors; and how are those constructed that separate the black humor suited for deadening rays of light and that finally attach it to the ciliary ligaments and to the bottom of the iris in such a way that the humors touching the iris can neither separate it from them nor dissolve it?",Malebranche,The Search After Truth,129409
It is at this stage that the Note ends: If we imagine one hand writing upon the surface of the mystic Writing Pad while another concrete representation of the way in which I tried to picture the Traces thus produce the space of their inscription only by acceding to the period of their erasure.,Derrida,Writing And Difference,204495
"But those who extend their vision to all things that exist, and of existing things suppose some to be perceptible and others not perceptible, evidently study both classes, which is all the more reason why one should devote some time to seeing what is good in their views and what bad from the stand point of the inquiry we have now before us.",Aristotle,Aristotle - Complete Works,70894
"For sometimes the demagogues, in order to curry favour with the people, wrong the notables and so force them to combine either they make a division of their property, or diminish their incomes by the imposition of public services, and sometimes they bring accusations against the rich so that they may have their wealth to confiscate.",Aristotle,Aristotle - Complete Works,81300
"But then metaphysics also has the rare good fortune, enjoyed by no other rational science that has to do with objectsO (for logic deals only with the form of thinking in general), which is that if by Bxxiv this critique it has been brought onto the secure course of a science, then it can fully embrace the entire field of cognitions belonging to it and thus can complete its work and lay it down for posterity as a princi pal frameworkb that can never be enlarged, since it has to do solely with principlesc and the limitations on their use, which are determined by the principles themselves.",Kant,Critique Of Pure Reason,253781
"The higher significance of war is that, through its agency (as I have put it on another occasion), 'the ethical health of nations Volker is preserved in their indifference towards the permanence of finite determinacies, just as the movement of the winds preserves the sea from that stagnation which a lasting calm would prod uce a stagnation which a lasting, not to say perpetual, peace would also produce among nations'.",Hegel,Elements Of The Philosophy Of Right,288777
"The other concern entirely different from the first, even though in correlation with it was the search for a logic independent of grammars, vocabularies, synthetic forms, and words: a logic that could clarify and utilize the universal implications of thought while protecting them from the singularities of a constituted language in which they might be obscured.",Foucault,The Order Of Things,199120
"Even though I have not explicitly presupposed it as a ground, it still has validity for me, the I of the cogito, through constant self verification, together with everything that it is for me, in particular details sometimes objectively and legitimately so, sometimes not, and together with all sciences and arts, together with all social and personal configurations and institutions, insofar as it is just the world that is actual for me.",Husserl,The Crisis Of The European Sciences And Phenomenology,228383
"Not allowed, perhaps, to step out of one broad walk in a superb garden, and obliged to pace with steady deportment stupidly backwards and forwards, holding up their heads, and turning out their toes, with shoulders braced back, instead of bounding, as nature directs to complete her own design, in the various attitudes so conducive to health.",Wollstonecraft,Vindication Of The Rights Of Woman,343183
"The man of noble character must first bring it home forcibly to his mind, especially with the aid of history, that, from time immemorial, in all social strata in any way dependent, the ordinary man only that which he not being at all accustomed to fix values, he did not assign even to himself any other value than that which his master assigned to him",Nietzsche,Beyond Good And Evil,330374
"this regard, the constitution of the different modes of objectivity and their relation to each other: the givenness of the cogitatio, the givenness of the cogitatio re lived in a fresh memory, the givenness of the unity of appearances persisting in the phenomenal stream, the givenness pf the change in such a unity, the givenness of the thing outer perception, the givenness of the different forms of imagination and recollection, as well as the givenness of manifold perceptions and other kinds of representations that are synthetically unified in corresponding connections.",Husserl,The Idea Of Phenomenology,231549
"For, in the first place, the monad is a determinate representation of its only implicit totality; as a certain degree of development and positedness of its representation of the world, it is determinate; but since it is a self enclosed totality, it is also indifferent to this determinateness and is, therefore, not its own determinateness but a determinateness posited through another object.",Hegel,Science Of Logic,275462
"Second, we must aslt God for the weight of his grace and for that pre, enient delightb which Jesus Christ has individually merited for us and without which the weight that inclines us toward sensible goods will always, however we might struggle, be a burden and, however light it might be, will inevitably lead us into sin and disorder.",Malebranche,The Search After Truth,117187
"And just as a man incapable of fixing his eyes on the bodies surrounding him cannot see them clearly enough to distinguish the differences in their tiniest particles, or to recognize all the relations these particles have among themselves so a man incapable of fixing his mind's perception on the things he wishes to know cannot know them well enough to distinguish their parts or to know all the relations they can have among themselves or with other subjects.",Malebranche,The Search After Truth,120425
"In a country which had acquired that full complement of riches which the nature of its soil and climate, and its situation with respect to other countries, allowed it to acquire, which could, therefore, advance no further, and which was not going backwards, both the wages of labour and the profits of stock would probably be very low.",Smith,The Wealth Of Nations,308028
"Or instead of observing facts like A conjoined with facts like, I may have observed a whole series of conjunctions for instance, between A and, and, and, and and B; and such a series, however long, will do quite as well to establish a causal connection between A and, as if I had directly observed conjunctions between A and themselves.",Moore,Philosophical Studies,136446
"Not knowing, therefore, what number of particles, nor what motion of them, is fit to produce any precise degree of whiteness, we cannot the certain equality of any two degrees of whiteness; because we have no certain standard to measure them by, nor means to distinguish every the least real difference, the only help we have being from our senses, which in this point fail us.",Locke,Essay Concerning Human Understanding,93698
"And let us, if we may, look for the previously existing law of that interplay in the painting of Las Meninas, in which representation is represented at every point: the painter, the palette, the broad dark surface of the canvas with its back to us, the paintings hanging on the wall, the spectators watching, who are framed, in turn, by those who are watching them; and lastly, in the centre, in the very heart of the representation, nearest to what is essential, the mirror, showing us what is represented, but as a reﬂection so distant, so deeply buried in an unreal space, so foreign to all the gazes being directed elsewhere, that it is no more than the frailest duplication of representation.",Foucault,The Order Of Things,199249
"They have crowns, plumes, and other attire upon their heads against which anything invented by the riches of men must pale; and I can assen with confidence that those who have used only their eyes have never seen anything so beautiful, so fining, or even so magnificent in the houses of the greatest princes as what can be seen with magnifying glasses on the head of a simple fly.",Malebranche,The Search After Truth,117328
"first, the paranoiac schizoid trait of the law (metonymy) according to which the law governs nontotalizable and nontotalized parts, partitioning them off, organizing them as bricks, measuring their distance and forbidding their communication, henceforth acting in the name of a formidable but formal and empty Unity, eminent, distributive, and not colIective; and second, the maniacal depressive trait (metaphor) according to which the law reveals nothing and has no knowable object, the verdict having no existence prior to the penalty, and the statement of the law having no existence prior to the verdict.",Deleuze,Anti-Oedipus,215820
"So far, therefore, as the productive labour of the country is concerned, the foreign trade of consumption, which is carried on by means of gold and silver, has all the advantages and all the inconveniencies of any other equally round about foreign trade of consumption; and will replace, just as fast, or just as slow, the capital which is immediately employed in supporting that productive labour.",Smith,The Wealth Of Nations,311303
"Through this supreme medium of communication, it also creates trading links between distant countries, a legal recht lichro relationship which gives rise to contracts; and at the same time, such trade Verkehr is the greatest educational asset Bil lgsmittelJ and the source from which commerce derives its world historical significance.",Hegel,Elements Of The Philosophy Of Right,287636
"And through the intercourse and mutual friction of these two there comes to be an offspring infinite in multitude but always twin births, on the one hand what is perceived, on the other, the perception of it, the perception in every case being generated together with what is perceived and emerging along with it.",Plato,Plato - Complete Works,3896
"Rising prices are not to be feared: on the contrary, now that the number of precious objects has increased, now that the middle classes, as Scipion de Grammont puts it, can wear 'satin and velvet', the value of things, even of the rarest things, could fall only in relation to the totality of the others; similarly, each piece of metal loses some of its value with regard to the others as the mass of coinage in circulation increases.",Foucault,The Order Of Things,197799
