text,philosopher,work,original_idx
Zusammenhange; with this final clause begins the second edition version of the Paralogisms.,Kant,Critique Of Pure Reason,258773
"Even from the point of view of conundrums, the question 'What difference is there?' may always be transformed into: 'What resemblance is there?'.",Deleuze,Difference And Repetition,206934
"But if the Wisdom of God that appears in the little we know of the construction of the eyes surprises us, how astonished would we be if we could follow the tiny filaments of the optic nerve right up to the brain and see what takes place in its principal part?.",Malebranche,The Search After Truth,129886
A leading spirit eill grofter Geist set as the theme of an essay competition the question 'whether it is permissible to deceive a people' The only possible answer.,Hegel,Elements Of The Philosophy Of Right,289643
"If he is touched or pricked, he is aware of being touched or pricked in two places.",Merleau-Ponty,The Phenomenology Of Perception,222712
Or are your arguments for neither of them but mostly for your own sake though you won't begrudge anyone else whatever benefit he's able to get from them?.,Plato,Plato - Complete Works,26235
"Now yet another experiment remains open to us: namely, whether pure reason is also to be found in practical use, whether in that use it leads us to the ideas that attain the highest ends of pure reason which we have just adduced, and thus whether from the point of view of its practical interest reason may a Thun oder Lassen, the standard eighteenth century German phrase for behavior subject to moral regulation and evaluation.",Kant,Critique Of Pure Reason,261553
"Our power of acting with reference to what is sensibly absent is largely due to this characteristic of images, although, as education advances, images tend to be more and more replaced by words.",Russell,The Analysis Of Mind,131734
"Thus, men endowed with social prestige and good at flattering feminine vanity will arouse passion even if they have no physical charm.",Beauvoir,The Second Sex,356512
"Second, Ideas are actualised in species and parts, qualities and extensities which cover and develop these fields of individuation.",Deleuze,Difference And Repetition,212075
"Let these people do what they want; if they exhibit talent, if they exhibit deep and new research, in a word, if only they exhibit rea son, then reason always wins.",Kant,Critique Of Pure Reason,261174
"In the sea outside the Pillars of Hercules they say that an island was discovered by the Carthaginians, desolate, having wood of every kind, and navigable rivers, and admirable for its fruits besides, but distant several days' voyage from them.",Aristotle,Aristotle - Complete Works,65281
"First, one must get firmly into one's mind that by the judgement of taste (upon the beautiful).",Kant,Critique Of Judgement,250722
"The alternative translation fits with a different interpretation of the myth, which is that of most scholars.",Plato,Plato - Complete Works,6910
"On the contrary, the century linked confinement to insanity ever more strongly, and this by a double bind: one that made of it a symbol of the power that confined, and its derisory and obsessive representation inside the world of confinement; and the other which designated it as the object of all the measures of confinement par excellence.",Foucault,History Of Madness,193429
"Now, since there are several types of cause (for we say that that for the sake of which, and that whence the origin of motion comes, and the matter, and the account, are all causes), in the first place, then, as we assert that nature operates for the sake of an end, and that this end is a good; and that to every creature which is endowed by nature with the power to move, but cannot with pleasure to itself move always and continuously, rest is necessary and beneficial; and since, taught by truth itself, men apply to sleep this metaphorical term, calling it a rest.",Aristotle,Aristotle - Complete Works,54402
"In that imperfect expression, therefore, one cannot fail to recognize the main point at issue, namely the indifference of the alteration: the concept of alteration itself implies its own 'more and less,' its indifference towards itself.",Hegel,Science Of Logic,269385
"Anyone who, in connection with the concept of a power, thinks of anything other than such a mere means of attachment does not understand what he himself is thinking.",Fichte,The System Of Ethics,263005
On these occasions we must also expect the various categories of competitions in the arts to be held.,Plato,Plato - Complete Works,33625
"Likewise for Russell qua politician, except that instead of the philosophical counterparts we take the political counterparts.",Lewis,Lewis - Papers,157186
"Hence there will be a girl series and a boy series, but dissyrnrnetrical, the female fantasy having three phases, the last of which is boys are beaten by the teacher, while the male fantasy has only two, the last of which is my mother beats me.",Deleuze,Anti-Oedipus,213858
"The real cause of long life in any animal is its being tempered in a manner resembling the environing air, along with certain other circumstances of its nature, of which we will speak later; but the cause of the time of gestation is the size of the offspring.",Aristotle,Aristotle - Complete Works,64584
"And thought is moved by the object of thought, and one side of the list of opposites is in itself the object of thought; and in this, substance is first, and in substance, that which is simple and exists actually.",Aristotle,Aristotle - Complete Works,73918
"Even a sequence of possible individuals all from the same world is not, strictly speaking, itself in that world.",Lewis,Lewis - Papers,146734
"For the words they have a long time been used to, remaining firm in their minds, it is no wonder that the wrong notions annexed to them should not be removed.",Locke,Essay Concerning Human Understanding,93646
"Of the viscera some appear to be single, as the heart and lung; others to be double, as the kidneys; while of a third kind it is doubtful in which class they should be reckoned.",Aristotle,Aristotle - Complete Works,61252
"And, more than this, wouldn't you more easily believe somebody who made the contrary statement, because of what you know of your own experience in learning to read and write?.",Plato,Plato - Complete Works,5193
"In the case of heat and molecular motion, the way these two paradigms work out is simple.",Kripke,Naming And Necessity,173596
"The two things I'm referring to are what is one's own and akin, on the one hand, and what's foreign and strange, on the other.",Plato,Plato - Complete Works,25281
"then (I) if is a right angle, the body at A will as a result of the two forces describe the complete diagonal of the parallelogram in the same time that it would have described one of the sides or if moved by only one of the two forces; if is acute, the body will describe only part of the diagonal, even if it were elastic as is supposed of all three bodies; if the angle is obtuse, the body will go well beyond the diagonal, and the farther beyond it as the angle is more obtuse, in the same time that it would have described the sides.",Malebranche,The Search After Truth,124385
"Polycritus, who has written the history of Sicily in verse, states that in a certain part of the interior there is a little lake, with a circumference about that of a shield, and this contains water transparent indeed, but somewhat turbid.",Aristotle,Aristotle - Complete Works,65352
"On the contrary, ontology unfolds as the science of the experience of consciousness.",Heidegger,Off The Beaten Track,244611
"Some for example, those who define both 'Cicero' and 'Tully' as 'the author of De Fato' use it to express a trivial self identity.",Kripke,Philosophical Troubles,177130
"They then assembled the rest of the body and handed the whole of it to the head, to be in its service.",Plato,Plato - Complete Works,28452
Last Elucidation Containing the description of the parts of which the eye is composed and the principal explanations of their construction as an aid to understanding what is said in the first book concerning the errors of vision.,Malebranche,The Search After Truth,129557
"On the other hand, impressions and passions are susceptible of an entire union; and like colours, may be blended so perfectly together, that each of them may lose itself, and contribute only to vary that uniform impression, which arises from the whole.",Hume,A Treatise Of Human Nature,100094
But the definiteness of time presupposes something objectively present which persists.,Heidegger,Being And Time,236535
"The people feeling, during continuance of war, the complete burden of it, would soon grow weary of it; and government, in order to humour them, would not be under the necessity of carrying it on longer than it was necessary to do so.",Smith,The Wealth Of Nations,319304
"With the common hen after three days and three nights there is the first indication of the embryo; with larger birds the interval being longer, with smaller birds shorter.",Aristotle,Aristotle - Complete Works,57699
"In fact, the presupposition may be unspoken in the immediately preceding discourse, as long as it is in the active context.",Kripke,Philosophical Troubles,183437
"When their adventures do not succeed, however, they run away; but it was the mark of a brave man to face things that are, and seem, terrible for a man, See Iliad Odyssey.",Aristotle,Aristotle - Complete Works,75299
"It is well known that the seventeenth century created vast houses of confinement, but it is less well known that in the city of Paris, one out of every hundred inhabitants found themselves locked up there within a matter of months.",Foucault,History Of Madness,188648
"The grounding principle is imparticipable but nevertheless provides something to be participated in, which it gives to the participant, who is the possessor in second place, the claimant who has been able to pass the grounding test.",Deleuze,Difference And Repetition,207921
"We see not only luminous bodies from every direction and in a straight line, we likewise see all opaque bodies when they are illuminated.",Malebranche,The Search After Truth,129633
"All of John's friends are from Nebraska, and Bill's friends are all from the Midwest, too.",Kripke,Philosophical Troubles,183381
"We may, for instance, ascribe to the soul, among other properties, a vis locomotiva because physical movements are actually initiated, the cause of which lies in the mind's activity of representing them.",Kant,Critique Of Judgement,253612
"What does the superior, the more intelligent man have a greater share of, and have it justly?.",Plato,Plato - Complete Works,19197
"If, as happens for the most part, the conclusion is a judgment given as the problem,g in order to see whether it flows from already given judgments, through which, namely, a wholly different object is thought, then I seek whether the assertion of this conclusion is not to be found in the understanding under certain conditions according to a universal rule.",Kant,Critique Of Pure Reason,258046
"But these rare advantages also conceal traps: instead of integrating her narcissistic indulgence and the sexual freedom she enjoys into her artistic life, the actress often falls into self worship or seduction; I have already spoken of these pseudo artists who seek only 'to make a name for themselves' in the cinema or theater by representing capital to exploit in a man's arms; the comfort of masculine support is very tempting compared with the risks of a career and the harshness any real work involves.",Beauvoir,The Second Sex,357424
"This can occur in so many different ways that of all the figures in the world, there is not a single one that cannot be represented in a thousand different ways.",Malebranche,The Search After Truth,117860
We have then to consider here how to determine the relation between these two sides and what is to be understood by this 'expression' of the inner in the outer.,Hegel,The Phenomenology Of Spirit,280571
"In accordance with the concept of the mechanism of nature, every thing is what it is through some other thing and manifests its existence in some third thing.",Fichte,The System Of Ethics,263469
"Some of the best English writers upon commerce set out with observing, that the wealth of a country consists, not in its gold and silver only, but in its lands, houses, and consumable goods of all different kinds.",Smith,The Wealth Of Nations,313209
"Indeed, in what follows I will show about absolute necessity that it by no means depends in all cases on what is internal, and so must not be regarded as signifying the same as what is internal.",Kant,Critique Of Pure Reason,258172
"In a young amphibian gastrula the intensity seems to be maximal in a mid 'sub blastoporaF region and to decrease in all directions, but less rapidly towards the animal pole.",Deleuze,Difference And Repetition,211524
"One need only consider the phenomena to realize that they are entirely different, united only by what can be identified in both cases, what we call the sense.",Husserl,The Idea Of Phenomenology,232178
"For when a thing is moving from or discarding something, it still appears to have that which is being discarded, so that if this state of rest is contrary to the motion from here to its contrary, the contraries will simultaneously belong to the same thing.",Aristotle,Aristotle - Complete Works,46842
"As for the principle of identity itself, we have shown that it entails the movement of reflection, identity as the disappearing of otherness.",Hegel,Science Of Logic,272275
"Mean while I shall rest contented with observing one example, which belongs to the present subject.",Hume,A Treatise Of Human Nature,101778
"Manufacture produced the machinery, by means of which Modern Industry abolished the handicraft and manufacturing systems in those spheres of production that it first seized upon.",Marx,Capital,296153
"If pleasure contributed to the fall of the lirst man, it was See the Eludiralion nf rh. of honk.",Malebranche,The Search After Truth,127190
"While Boerhaave still defined melancholia as 'long, stubborn delirium without fever, during which the patient is obsessed by a single thought', within a few years Dufour had moved the weight of definition to the 'fear and sadness', which were now taken to explain the partial character of the delirium:.",Foucault,History Of Madness,191614
"Or perhaps we're ashamed to do that, like the suitors in Homer, who didn't expect anybody else to be able to string the bow?'.",Plato,Plato - Complete Works,13939
Positedness is not yet a determination of reflection; it is only determinateness as negation in general.,Hegel,Science Of Logic,272123
"A fine ash of dust proclaims negligence, the beginning of carelessness, it's the impalpable sediment from the air we breathe, clothes that flutter, from the wind coming through open windows; but this tuft already represented a second stage of dust, triumphant dust, a thickening that takes shape and from sediment becomes waste.",Beauvoir,The Second Sex,352822
One such axiom system not the neatest is the system of my paper Completeness and Decidability of Three Logics of Counterfactual Conditionals essentially as follows.,Lewis,Lewis - Papers,152966
"May we not reply, that as far as this objection goes there is no more absurdity in excluding them than in excluding slaves and freedmen from any of the above mentioned classes?.",Aristotle,Aristotle - Complete Works,80768
"This means that we could consistently use the predicate 'true' so as to give or a truth value, though the minimal process for assigning truth values does not do so.",Kripke,Philosophical Troubles,176040
"Thus, if I believe that Columbus crossed the Atlantic in the objective of my belief is Columbus's actual voyage, and the reference of my belief is the relation between my belief and the voyage that relation, namely, in virtue of which the voyage makes my belief true (or, in another case, false).",Russell,The Analysis Of Mind,132630
"Similarly in these it produces a discharge of ink, and, though the ejection is the result of necessity, like the discharge of urine, yet at the same time nature makes use of this residue for the protection and safety of the animal.",Aristotle,Aristotle - Complete Works,61619
"But such questions refer to the entire history of literary forms themselves, and to the history of everything within them which was destined precisely to authorize this disdain of the signifier.",Derrida,Writing And Difference,205325
"I think that someone in whom the tyrant of erotic love dwells and in whom it directs everything next goes in for feasts, revelries, luxuries, girlfriends, and all that sort of thing.",Plato,Plato - Complete Works,27012
(That the connection is a further determination which cannot be discussed here. ).,Hegel,Elements Of The Philosophy Of Right,287813
"In short, speaking of the majority of mothers, they leave their children entirely to the care of servants: or, because they are their children, treat them as if they were little demi gods, though I have always observed, that the women who thus idolize their children, seldom show common humanity to servants, or feel the least tenderness for any children but their own.",Wollstonecraft,Vindication Of The Rights Of Woman,344683
"They must be like sleepless hounds, able to see and hear as keenly as possible and to endure frequent changes of water and food, as well as summer and winter weather on their campaigns, without faltering in health.",Plato,Plato - Complete Works,24106
"According to that principle, sameness of kind is necessarily presupposed in the manifold of a possible experience (even though we cannot deter mine its degree a priori), because without it no empirical concepts and hence no experience would be possible.",Kant,Critique Of Pure Reason,260559
"Absorbed, diffuse, immanent death is the condition formed by the signifier in capitalism, the empty locus that is everywhere displaced in order to block the schizophrenic escapes and place restraints on the flights.",Deleuze,Anti-Oedipus,218527
Let us take the supposition that Nixon pressed the button as implicitly referring to a particular time let it be the darkest moment of the final days.,Lewis,Lewis - Papers,153330
"I mean a set: the set of exactly those possible beings, actual or not, that have the property in question.",Lewis,Lewis - Papers,148975
I want to regard man here as an animal; as a primitive being to which one grants instinct but not ratiocination.,Wittgenstein,On Certainty,184842
"A high school teacher and later a university professor, Mary Church Terrell became the first Black woman appointed to the Board of Education in the District of Columbia.",Davis,"Women, Race, And Class",359366
"This thinking is soon applied in all its extensions in geometry, in the whole pure mathematics of spatiotemporal shapes and the latter are thoroughly formalized algebraically for methodical purposes.",Husserl,The Crisis Of The European Sciences And Phenomenology,227377
"The over all algebra of rational and irrational numbers is underde termined by the algebra of rational numbers, but is smoother and more convenient; and it includes the algebra of rational numbers as a agged or gerrymandered part.",Quine,Quintessence,159867
